	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
.	535	1	1	0	0	0	0	0	0	0	0	1	0	0	0	Bamboo Round Walls 2
.	528	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	530	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	529	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	531	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	533	1	1	0	0	0	0	0	0	0	0	1	0	0	0	Misc Roof1
.	532	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	528	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	527	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
.	537	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
\	24	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	25	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	49	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	50	0	1	0	1	0	0	0	0	0	0	0	1	0	0	Misc Roof2
\	85	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	86	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	120	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	121	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	456	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	457	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	162	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	163	0	1	0	1	0	0	0	0	0	0	0	1	0	0	Misc Roof3
\	164	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	165	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	193	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	194	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	230	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	231	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	293	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	294	0	1	0	1	0	0	0	0	0	0	0	1	0	0	Misc Roof4
\	330	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	331	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	433	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	434	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	435	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	436	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	409	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	410	0	1	0	1	0	0	0	0	0	0	0	1	0	0	Misc Roof5
\	494	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	495	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	407	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	408	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	492	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	493	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	523	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	10723	0	1	0	1	0	0	0	0	0	0	0	1	0	0	Misc Roof6
\	10722	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	10727	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	10726	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
v	10721	0	1	0	1	0	1	0	0	0	1	0	0	0	0	
.	10724	0	1	0	1	0	1	0	0	0	1	0	1	1	0	
./	524	0	1	0	1	0	0	0	0	0	0	0	1	0	0	Castle Battlements 1
\	554	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	555	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
\	677	0	1	0	0	0	1	0	0	0	1	0	0	1	0	
./	678	0	1	0	1	0	0	0	0	0	0	0	1	0	0	
.	711	0	1	0	1	1	1	0	1	0	0	0	0	0	0	
.	715	0	1	0	1	0	1	0	0	0	0	0	0	0	0	
.	714	0	1	1	1	0	1	0	0	0	1	0	0	0	0	Castle Battlements 2
.	713	0	1	0	1	0	0	0	0	0	1	0	0	0	0	
.	716	0	1	0	1	0	0	0	1	1	1	0	0	0	0	
.	717	0	1	0	0	0	0	0	1	0	1	0	0	0	0	
.	712	0	1	0	0	0	1	1	1	0	1	0	0	0	0	
.	718	0	1	0	1	0	0	0	0	0	1	0	0	0	0	
.	724	0	1	0	1	0	1	0	1	0	0	0	0	0	0	
.	719	0	1	0	1	0	1	0	1	0	1	0	0	0	0	
.	721	0	1	0	0	0	1	0	1	0	1	0	0	0	0	Castle Battlements
.	720	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
.	722	0	1	0	0	0	1	0	1	0	1	0	0	1	0	
.	723	0	1	0	0	0	0	0	0	0	1	0	0	0	0	
.	725	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
.	726	0	1	0	1	0	0	0	0	0	0	0	0	0	0	Metal Door
.	727	0	1	0	0	0	1	0	1	0	1	0	0	1	0	
.	728	0	1	0	0	0	0	0	0	0	1	0	0	0	0	
.	729	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	1653	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1655	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1657	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1659	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Rattan
./	1661	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1663	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1665	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1667	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	1685	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1687	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1689	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1691	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Dark Wood Door
./	1693	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1695	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1697	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1699	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	1701	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1703	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1705	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1707	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Wood Door
./	1709	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1711	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1713	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1715	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	1717	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1719	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1721	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1723	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Light Wood Door
./	1725	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1727	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1729	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1731	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	1749	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1751	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1753	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1755	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Wood And Metal Door
./	1757	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1759	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1761	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1763	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	1765	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1767	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1769	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	1771	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Tall Iron Gate
./	1773	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1775	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1777	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	1779	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	2084	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	2086	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	2088	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	2090	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Light Wood Gate
./	2092	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	2094	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	2096	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	2098	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	2105	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	2107	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	2109	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	2111	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Short Iron Gate
./	2113	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	2115	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	2117	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	2119	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	2124	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	2126	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	2128	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	2130	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Dark Wood Gate
./	2132	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	2134	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	2136	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	2138	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	2150	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	2152	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	2154	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	2156	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Weathered Stone Secret
./	2158	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	2160	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	2162	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	2164	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	804	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	806	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	808	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	810	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Dark Wood Secret
./	812	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	814	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	816	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	818	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	820	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	822	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	824	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	826	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Light Wood Secret
./	828	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	830	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	832	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	834	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	836	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	838	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	840	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	842	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Grey Stone Secret
./	844	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	846	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	848	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	850	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	9249	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Japanese Doors
\	9251	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
./	9247	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	10765	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Sliding Doors 1
\	10769	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
./	10767	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	10771	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	10757	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Sliding Doors 2
\	10759	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
./	10761	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	10763	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	10773	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Sliding Doors 3
\	10775	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
./	10777	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	10779	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	852	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	854	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	856	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
\	858	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Barred Metal
./	860	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	862	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	864	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	866	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	8173	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	8175	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	8177	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	8179	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Tall Wrought Iron
./	8181	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	8183	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	8185	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	8187	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Medium Wrouoght Iron
\	2083	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	2082	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	2081	1	1	1	1	1	1	1	1	0	0	1	1	0	0	Wood Fence 1
\	2123	0	1	0	0	0	1	0	1	0	1	0	0	1	0	
v	2122	0	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	2121	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	2141	0	1	0	0	0	1	0	1	0	1	0	0	1	0	Wood Fence 2
v	2140	0	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	2142	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	2143	0	1	0	0	0	1	0	1	0	0	0	1	1	1	
\	2147	0	1	0	0	0	1	0	1	0	1	0	0	1	0	Bannisters
v	2146	0	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	2148	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	2149	0	1	0	0	0	1	0	1	0	0	0	1	1	1	
*	2226	0	1	0	1	0	0	0	1	0	1	0	0	0	0	
*	2227	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
*	2228	0	1	0	1	0	1	0	0	0	1	0	0	0	0	
*	2229	0	1	0	0	0	1	0	1	0	1	0	0	1	0	
*	2230	0	1	0	1	0	1	0	1	0	1	0	0	0	0	
*	2231	0	1	0	0	0	1	0	1	0	1	0	0	1	0	
*	2232	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
*	2233	0	1	0	0	0	1	0	1	0	0	0	1	1	1	
*	2234	0	1	0	0	0	1	0	1	0	1	0	0	1	0	
*	2235	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
*	2236	0	1	0	1	0	1	0	0	0	1	0	0	0	0	
*	2237	0	1	0	1	0	0	0	1	0	1	0	0	0	0	
*	2238	0	1	0	1	0	1	0	0	0	1	0	0	0	0	
*	2239	0	1	0	1	0	0	0	1	0	1	0	0	0	0	
*	2240	0	1	0	1	0	0	0	0	0	1	0	0	0	0	
*	2241	0	1	0	0	0	1	0	1	0	1	0	0	1	0	
*	2242	0	1	0	1	0	1	0	1	0	0	0	1	0	0	Wood Fence 3
*	2243	0	0	0	1	0	1	0	1	0	0	0	1	0	0	
*	2244	0	0	0	1	0	0	0	1	0	1	0	0	0	0	
*	2245	0	0	0	0	0	1	0	1	0	1	0	0	1	0	
*	2246	0	0	0	1	0	1	0	0	0	1	0	0	0	0	
\	2231	0	1	0	0	0	1	0	1	0	1	0	0	1	0	Wood/Stone Fence 1
v	2230	0	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	2232	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	2233	0	1	0	0	0	1	0	1	0	0	0	1	1	1	
\	2285	0	1	0	0	0	1	0	1	0	1	0	0	1	0	Wood/Stone Fence 2
.	2283	0	1	0	0	0	0	0	1	0	1	0	0	1	0	
./	2286	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
`	2284	0	1	0	1	0	1	0	0	0	0	0	1	0	0	
\	2289	0	1	0	0	0	1	0	1	0	1	0	0	1	0	Wood/Stone Fence 2
.	2287	0	1	0	0	0	0	0	1	0	1	0	0	1	0	
./	2288	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
`	2290	0	1	0	1	0	1	0	0	0	0	0	1	0	0	
\	2294	0	1	0	0	0	1	0	1	0	1	0	0	1	0	Wood/Stone Fence 2
.	2291	0	1	0	0	0	0	0	1	0	1	0	0	1	0	
./	2292	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
`	2293	0	1	0	1	0	1	0	0	0	0	0	1	0	0	
\	2297	0	1	0	0	0	1	0	1	0	1	0	0	1	0	Wood Slats
.	2295	0	1	0	0	0	0	0	1	0	1	0	0	1	0	
./	2296	0	1	0	1	0	1	0	1	0	0	0	1	0	0	Waterfalls
`	2298	0	1	0	1	0	1	0	0	0	0	0	1	0	0	
\\	2299	0	0	0	0	0	1	0	0	0	1	0	0	1	0	
//	2300	0	0	0	1	0	0	0	1	0	0	0	1	0	0	
*	13550	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	13582	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	13556	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	13586	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	13559	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	13592	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	13562	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Bars
*	13598	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	13568	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	13604	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	13574	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	6424	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	6429	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	6425	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	6428	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	6416	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	6419	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	6427	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	6431	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	6426	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	6430	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	6417	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
*	6418	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
\	11508	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	11197	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11509	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11131	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	11132	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11198	1	1	0	0	1	1	1	1	1	1	1	0	1	0	White Marble Fancy Std
./	11507	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	11564	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11585	1	1	0	0	1	1	1	1	1	1	1	0	1	0	White Marble Fancy Std
v	11717	0	1	0	1	0	1	0	1	0	1	1	0	0	0	
v	11546	0	1	0	1	0	1	0	1	0	1	1	0	0	0	
v	11183	0	1	0	1	0	1	0	1	0	1	1	0	0	0	
v	11211	0	1	0	1	0	1	0	1	0	1	1	0	0	0	
v	11545	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
v	11716	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
v	11182	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
v	11209	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
v	11544	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
v	11715	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
v	11181	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
v	11207	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
v	11767	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
v	11771	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
o	11547	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
o	11184	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
o	11208	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
o	11718	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
o	11768	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
o	11772	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
o	11548	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
o	11185	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
o	11210	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
o	11719	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
o	11549	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	11186	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	11212	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	11720	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	11583	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
\	11196	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
\	11506	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
\	11130	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
./	11582	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
./	11195	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
./	11505	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
./	11729	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
./	11580	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
./	11193	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
./	11503	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
./	11769	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
./	11727	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
\	11581	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Light Brick Quarter
\	11194	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Light Brick Quarter
\	11504	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Light Brick Quarter
\	11728	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Light Brick Quarter
\	11770	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Light Brick Quarter
\	11774	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Light Brick Quarter
\	11510	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11512	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11587	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11569	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11133	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11136	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11200	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11202	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	11586	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11588	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10687	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11137	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11135	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11199	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11201	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11511	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	11188	1	0	0	0	1	0	0	0	1	0	1	0	1	0	
\	11214	1	0	0	0	1	0	0	0	1	0	1	0	1	0	
\	11722	1	0	0	0	1	0	0	0	1	0	1	0	1	0	
\	11575	1	0	0	0	1	0	0	0	1	0	1	0	1	0	
./	11187	1	0	1	0	0	0	1	0	0	0	1	1	0	0	
./	11213	1	0	1	0	0	0	1	0	0	0	1	1	0	0	
./	11574	1	0	1	0	0	0	1	0	0	0	1	1	0	0	
./	11721	1	0	1	0	0	0	1	0	0	0	1	1	0	0	
./	11540	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11711	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11177	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11203	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	11541	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	11712	1	1	0	0	1	1	1	1	0	0	1	1	0	0	
./	11176	1	0	1	0	1	0	1	0	0	0	1	1	0	0	
o	11204	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	11542	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	11713	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	11179	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
o	11205	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	11543	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11714	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11180	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	11208	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	11134	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	11590	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Elf Wooden Door
./	11620	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	12704	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
\	12708	0	1	0	0	0	0	0	0	0	0	0	0	1	0	 Door
./	12714	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	12718	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	11624	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
o	11178	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
./	11590	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	11619	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	11623	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	11627	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	12705	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
./	12709	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
